exam,score,attendance
0.445161290322581,75.7469263469231,94.1176470588235
0.809677419354839,83.6863100337788,100
1,100,94.1176470588235
0.851612903225806,84.6882145254324,94.1176470588235
0.787096774193548,80.3684563795014,94.1176470588235
0.896774193548387,85.7496002750326,94.1176470588235
0.851612903225806,86.0535549601367,100
0.793548387096774,57.6127824677628,64.7058823529412
0.87741935483871,85.8953020720214,70.5882352941177
0.82258064516129,78.4339512471965,100
0.816129032258065,81.0112905250176,100
0.658064516129032,79.3971110662425,94.1176470588235
0.764516129032258,81.8849556073364,94.1176470588235
0.867741935483871,89.0740023246804,94.1176470588235
0.809677419354839,83.7921757589318,94.1176470588235
0.629032258064516,63.0092059524914,76.4705882352941
0.554838709677419,64.1720918303311,94.1176470588235
0.709677419354839,77.6023050351703,94.1176470588235
0.858064516129032,77.7812945086248,94.1176470588235
0.664516129032258,73.9515746162368,94.1176470588235
0.674193548387097,76.532188091743,100
